Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,300,20581,0,48334,16619.31,16.000%,6.10314,3.12,0.72,523.7
TOTAL,300,20581,0,48334,16619.31,16.000%,6.10314,3.12,0.72,523.7
