Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,10,654,186,1598,476.35,0.000%,4.82160,0.86,0.67,183.0
TOTAL,10,654,186,1598,476.35,0.000%,4.82160,0.86,0.67,183.0
