Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,400,13374,0,41312,14081.72,36.500%,9.43886,8.84,0.84,959.0
TOTAL,400,13374,0,41312,14081.72,36.500%,9.43886,8.84,0.84,959.0
