Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,8508,125,17401,4792.54,0.000%,5.72246,1.02,0.80,183.0
TOTAL,100,8508,125,17401,4792.54,0.000%,5.72246,1.02,0.80,183.0
