Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,250,22382,143,45303,13030.15,0.000%,5.40962,0.97,0.76,183.0
TOTAL,250,22382,143,45303,13030.15,0.000%,5.40962,0.97,0.76,183.0
